Gene,Regulation,geneCardsFunction
CIDEC,increased,"CIDEC (Cell Death Inducing DFFA Like Effector C) is a Protein Coding gene. Diseases associated with CIDEC include Lipodystrophy, Familial Partial, Type 5 and Adiposis Dolorosa. Among its related pathways are Metabolism and Lipoprotein metabolism. An important paralog of this gene is CIDEA. Binds to lipid droplets and regulates their enlargement, thereby restricting lipolysis and favoring storage. At focal contact sites between lipid droplets, promotes directional net neutral lipid transfer from the smaller to larger lipid droplets. The transfer direction may be driven by the internal pressure difference between the contacting lipid droplet pair. Its role in neutral lipid transfer and lipid droplet enlargement is activated by the interaction with PLIN1. May act as a CEBPB coactivator in the white adipose tissue to control the expression of a subset of CEBPB downstream target genes, including SOCS1, SOCS3, TGFB1, TGFBR1, ID2 and XDH. When overexpressed in preadipocytes, induces apoptosis or increases cell susceptibility to apoptosis induced by serum deprivation or TGFB treatment. As mature adipocytes, that express high CIDEC levels, are quite resistant to apoptotic stimuli, the physiological significance of its role in apoptosis is unclear. May play a role in the modulation of the response to osmotic stress by preventing NFAT5 to translocate into the nucleus and activate its target genes expression. "
CLC,increased,"CLCN1 (Chloride Voltage-Gated Channel 1) is a Protein Coding gene. Diseases associated with CLCN1 include Myotonia Congenita, Autosomal Recessive and Myotonia Congenita, Autosomal Dominant. Among its related pathways are Activation of cAMP-Dependent PKA and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds. Gene Ontology (GO) annotations related to this gene include ion channel activity and adenyl nucleotide binding. An important paralog of this gene is CLCN2. Voltage-gated chloride channel (PubMed:8112288, PubMed:9122265, PubMed:12456816). Plays an important role in membrane repolarization in skeletal muscle cells after muscle contraction. "
CLEC4C,increased,"CLEC4C (C-Type Lectin Domain Family 4 Member C) is a Protein Coding gene. Diseases associated with CLEC4C include Localized Osteosarcoma and Brachydactyly, Type C. Among its related pathways are CLEC7A (Dectin-1) signaling and Innate Immune System. Gene Ontology (GO) annotations related to this gene include carbohydrate binding. An important paralog of this gene is CLEC6A. Lectin-type cell surface receptor which may play a role in antigen capturing by dendritic cells (PubMed:11748283, PubMed:21880719, PubMed:25995448). Specifically recognizes non-sialylated galactose-terminated biantennary glycans containing the trisaccharide epitope Gal(beta1-3/4)GlcNAc(beta1-2)Man (PubMed:21880719, PubMed:25995448). Binds to serum IgG (PubMed:25995448). Efficiently targets ligand into antigen-processing and peptide-loading compartments for presentation to T-cells (PubMed:11748283). May mediate potent inhibition of induction of IFN-alpha/beta expression in plasmacytoid dendritic cells (PubMed:11748283, PubMed:21880719). May act as a signaling receptor that activates protein-tyrosine kinases and mobilizes intracellular calcium (PubMed:11748283). "
CLEC4C,increased,"CLEC4C (C-Type Lectin Domain Family 4 Member C) is a Protein Coding gene. Diseases associated with CLEC4C include Localized Osteosarcoma and Brachydactyly, Type C. Among its related pathways are CLEC7A (Dectin-1) signaling and Innate Immune System. Gene Ontology (GO) annotations related to this gene include carbohydrate binding. An important paralog of this gene is CLEC6A. Lectin-type cell surface receptor which may play a role in antigen capturing by dendritic cells (PubMed:11748283, PubMed:21880719, PubMed:25995448). Specifically recognizes non-sialylated galactose-terminated biantennary glycans containing the trisaccharide epitope Gal(beta1-3/4)GlcNAc(beta1-2)Man (PubMed:21880719, PubMed:25995448). Binds to serum IgG (PubMed:25995448). Efficiently targets ligand into antigen-processing and peptide-loading compartments for presentation to T-cells (PubMed:11748283). May mediate potent inhibition of induction of IFN-alpha/beta expression in plasmacytoid dendritic cells (PubMed:11748283, PubMed:21880719). May act as a signaling receptor that activates protein-tyrosine kinases and mobilizes intracellular calcium (PubMed:11748283). "
COL6A5,increased,COL6A5 (Collagen Type VI Alpha 5 Chain) is a Protein Coding gene. Diseases associated with COL6A5 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1. Among its related pathways are NCAM1 interactions and Developmental Biology. An important paralog of this gene is COL6A6. Collagen VI acts as a cell-binding protein. 
COL6A5,increased,COL6A5 (Collagen Type VI Alpha 5 Chain) is a Protein Coding gene. Diseases associated with COL6A5 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1. Among its related pathways are NCAM1 interactions and Developmental Biology. An important paralog of this gene is COL6A6. Collagen VI acts as a cell-binding protein. 
COL6A5,increased,COL6A5 (Collagen Type VI Alpha 5 Chain) is a Protein Coding gene. Diseases associated with COL6A5 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1. Among its related pathways are NCAM1 interactions and Developmental Biology. An important paralog of this gene is COL6A6. Collagen VI acts as a cell-binding protein. 
CSNK2B,increased,CSNK2B (Casein Kinase 2 Beta) is a Protein Coding gene. Diseases associated with CSNK2B include Autosomal Dominant Non-Syndromic Intellectual Disability and Egg Allergy. Among its related pathways are Wnt Signaling Pathways: beta-Catenin-dependent Wnt Signaling and Regulation of TP53 Activity. Gene Ontology (GO) annotations related to this gene include identical protein binding and signaling receptor binding.  Participates in Wnt signaling (By similarity). Plays a complex role in regulating the basal catalytic activity of the alpha subunit. 
CTLA4,increased,"CTLA4 (Cytotoxic T-Lymphocyte Associated Protein 4) is a Protein Coding gene. Diseases associated with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3. Among its related pathways are ICos-ICosL Pathway in T-Helper Cell and T cell receptor signaling pathway. An important paralog of this gene is CD28. Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28. "
CTLA4,increased,"CTLA4 (Cytotoxic T-Lymphocyte Associated Protein 4) is a Protein Coding gene. Diseases associated with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3. Among its related pathways are ICos-ICosL Pathway in T-Helper Cell and T cell receptor signaling pathway. An important paralog of this gene is CD28. Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28. "
CXCL13,increased,"CXCL13 (C-X-C Motif Chemokine Ligand 13) is a Protein Coding gene. Diseases associated with CXCL13 include Angioimmunoblastic T-Cell Lymphoma and Burkitt Lymphoma. Among its related pathways are CCR5 Pathway in Macrophages and CXCR3-mediated signaling events. Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and chemokine activity. An important paralog of this gene is CXCL6. Chemotactic for B-lymphocytes but not for T-lymphocytes, monocytes and neutrophils. Does not induce calcium release in B-lymphocytes. Binds to BLR1/CXCR5. "
CXCL6,increased,"CXCL6 (C-X-C Motif Chemokine Ligand 6) is a Protein Coding gene. Diseases associated with CXCL6 include Mastitis and Rheumatoid Arthritis. Among its related pathways are CCR5 Pathway in Macrophages and ERK Signaling. Gene Ontology (GO) annotations related to this gene include heparin binding and CXCR chemokine receptor binding. An important paralog of this gene is CXCL5. Chemotactic for neutrophil granulocytes. Signals through binding and activation of its receptors (CXCR1 and CXCR2). In addition to its chemotactic and angiogenic properties, it has strong antibacterial activity against Gram-positive and Gram-negative bacteria (90-fold-higher when compared to CXCL5 and CXCL7). "
DCANP1,increased,"DCANP1 (Dendritic Cell Associated Nuclear Protein) is a Protein Coding gene. Diseases associated with DCANP1 include Depression.  Binds with and transactivates the corticotropin-releasing hormone (CRH) promoter.
"
DUSP13,increased,"DUSP13 (Dual Specificity Phosphatase 13) is a Protein Coding gene. Diseases associated with DUSP13 include Ruvalcaba Syndrome and Cowden Syndrome. Gene Ontology (GO) annotations related to this gene include phosphatase activity and protein tyrosine/serine/threonine phosphatase activity. An important paralog of this gene is DUSP26. Probable protein tyrosine phosphatase. Has phosphatase activity with synthetic substrates (PubMed:15252030, PubMed:29106959). Has a phosphatase activity-independent regulatory role in MAP3K5/ASK1-mediated apoptosis, preventing MAP3K5/ASK1 inhibition by AKT1. Shows no phosphatase activity on MAPK1/ERK2, MAPK8/JNK, MAPK14/p38 and MAP3K5/ASK1. Dual specificity phosphatase that dephosphorylates MAPK8/JNK and MAPK14/p38, but not MAPK1/ERK2, in vitro. Exhibits intrinsic phosphatase activity towards both phospho-seryl/threonyl and -tyrosyl residues, with similar specific activities in vitro.
"
FAM30A,increased,"FAM30A (Family With Sequence Similarity 30 Member A) is an RNA Gene, and is affiliated with the lncRNA class. Diseases associated with FAM30A include Gallbladder Cancer.  "
GPR15,increased,GPR15 (G Protein-Coupled Receptor 15) is a Protein Coding gene. Diseases associated with GPR15 include Human Immunodeficiency Virus Type 1 and Immune Deficiency Disease. Among its related pathways are Peptide ligand-binding receptors and Signaling by GPCR. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and transmembrane signaling receptor activity. An important paralog of this gene is GPR25.
GREM1,increased,"GREM1 (Gremlin 1, DAN Family BMP Antagonist) is a Protein Coding gene. Diseases associated with GREM1 include Polyposis Syndrome, Hereditary Mixed, 1 and Hereditary Mixed Polyposis Syndrome. Among its related pathways are Signaling by BMP and Loss of Function of SMAD2/3 in Cancer. Gene Ontology (GO) annotations related to this gene include cytokine activity and BMP binding. An important paralog of this gene is GREM2. Cytokine that may play an important role during carcinogenesis and metanephric kidney organogenesis, as a BMP antagonist required for early limb outgrowth and patterning in maintaining the FGF4-SHH feedback loop. Down-regulates the BMP4 signaling in a dose-dependent manner (By similarity). Antagonist of BMP2; inhibits BMP2-mediated differentiation of osteoblasts (in vitro) (PubMed:27036124). Acts as inhibitor of monocyte chemotaxis. Can inhibit the growth or viability of normal cells but not transformed cells when is overexpressed (By similarity)."
GREM1,increased,"GREM1 (Gremlin 1, DAN Family BMP Antagonist) is a Protein Coding gene. Diseases associated with GREM1 include Polyposis Syndrome, Hereditary Mixed, 1 and Hereditary Mixed Polyposis Syndrome. Among its related pathways are Signaling by BMP and Loss of Function of SMAD2/3 in Cancer. Gene Ontology (GO) annotations related to this gene include cytokine activity and BMP binding. An important paralog of this gene is GREM2. Cytokine that may play an important role during carcinogenesis and metanephric kidney organogenesis, as a BMP antagonist required for early limb outgrowth and patterning in maintaining the FGF4-SHH feedback loop. Down-regulates the BMP4 signaling in a dose-dependent manner (By similarity). Antagonist of BMP2; inhibits BMP2-mediated differentiation of osteoblasts (in vitro) (PubMed:27036124). Acts as inhibitor of monocyte chemotaxis. Can inhibit the growth or viability of normal cells but not transformed cells when is overexpressed (By similarity)."
GSTM1,increased,"GSTM1 (Glutathione S-Transferase Mu 1) is a Protein Coding gene. Diseases associated with GSTM1 include Senile Cataract and Asbestosis. Among its related pathways are Acetaminophen Pathway (therapeutic doses), Pharmacokinetics and Glutathione metabolism. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and glutathione transferase activity. An important paralog of this gene is GSTM5. Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles."
GSTM1,increased,"GSTM1 (Glutathione S-Transferase Mu 1) is a Protein Coding gene. Diseases associated with GSTM1 include Senile Cataract and Asbestosis. Among its related pathways are Acetaminophen Pathway (therapeutic doses), Pharmacokinetics and Glutathione metabolism. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and glutathione transferase activity. An important paralog of this gene is GSTM5. Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles."
HLA-DPB1,increased,"HLA-DPB1 (Major Histocompatibility Complex, Class II, DP Beta 1) is a Protein Coding gene. Diseases associated with HLA-DPB1 include Chronic Beryllium Disease and Granulomatosis With Polyangiitis. Among its related pathways are TCR signaling (REACTOME) and Phagosome. Gene Ontology (GO) annotations related to this gene include peptide antigen binding. An important paralog of this gene is HLA-DQB1. Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for presentation via MHC II molecules, and for this reason this antigen presentation pathway is usually referred to as exogenous. As membrane proteins on their way to degradation in lysosomes as part of their normal turn-over are also contained in the endosomal/lysosomal compartments, exogenous antigens must compete with those derived from endogenous components. Autophagy is also a source of endogenous peptides, autophagosomes constitutively fuse with MHC class II loading compartments. In addition to APCs, other cells of the gastrointestinal tract, such as epithelial cells, express MHC class II molecules and CD74 and act as APCs, which is an unusual trait of the GI tract. To produce a MHC class II molecule that presents an antigen, three MHC class II molecules (heterodimers of an alpha and a beta chain) associate with a CD74 trimer in the ER to form a heterononamer. Soon after the entry of this complex into the endosomal/lysosomal system where antigen processing occurs, CD74 undergoes a sequential degradation by various proteases, including CTSS and CTSL, leaving a small fragment termed CLIP (class-II-associated invariant chain peptide). The removal of CLIP is facilitated by HLA-DM via direct binding to the alpha-beta-CLIP complex so that CLIP is released. HLA-DM stabilizes MHC class II molecules until primary high affinity antigenic peptides are bound. The MHC II molecule bound to a peptide is then transported to the cell membrane surface. In B-cells, the interaction between HLA-DM and MHC class II molecules is regulated by HLA-DO. Primary dendritic cells (DCs) also to express HLA-DO. Lysosomal microenvironment has been implicated in the regulation of antigen loading into MHC II molecules, increased acidification produces increased proteolysis and efficient peptide loading. "
IGLL5,increased,IGLL5 (Immunoglobulin Lambda Like Polypeptide 5) is a Protein Coding gene. Diseases associated with IGLL5 include Amebiasis and Solitary Osseous Plasmacytoma. Gene Ontology (GO) annotations related to this gene include antigen binding. An important paralog of this gene is IGLL1.
KCNQ2,increased,"KCNQ2 (Potassium Voltage-Gated Channel Subfamily Q Member 2) is a Protein Coding gene. Diseases associated with KCNQ2 include Epileptic Encephalopathy, Early Infantile, 7 and Seizures, Benign Familial Neonatal, 1. Among its related pathways are Developmental Biology and L1CAM interactions. Gene Ontology (GO) annotations related to this gene include ion channel activity and potassium channel activity. An important paralog of this gene is KCNQ5. Associates with KCNQ3 to form a potassium channel with essentially identical properties to the channel underlying the native M-current, a slowly activating and deactivating potassium conductance which plays a critical role in determining the subthreshold electrical excitability of neurons as well as the responsiveness to synaptic inputs. Therefore, it is important in the regulation of neuronal excitability. KCNQ2/KCNQ3 current is blocked by linopirdine and XE991, and activated by the anticonvulsant retigabine (PubMed:9836639, PubMed:11572947, PubMed:14534157, PubMed:12742592, PubMed:17872363). As the native M-channel, the potassium channel composed of KCNQ2 and KCNQ3 is also suppressed by activation of the muscarinic acetylcholine receptor CHRM1 (PubMed:10684873)."
LINC01924,increased,"LINC01924 (Long Intergenic Non-Protein Coding RNA 1924) is an RNA Gene, and is affiliated with the lncRNA class. "
LINC02133,increased,"LINC02133 (Long Intergenic Non-Protein Coding RNA 2133) is an RNA Gene, and is affiliated with the lncRNA class. "
LOC101926964,increased,"LOC101926964 (Uncharacterized LOC101926964) is an RNA Gene, and is affiliated with the lncRNA class. "
LTF,increased,"LTF (Lactotransferrin) is a Protein Coding gene. Diseases associated with LTF include Mastitis and Keratoconjunctivitis Sicca. Among its related pathways are Innate Immune System and Defensins. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and heparin binding. An important paralog of this gene is TF. 
    Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate.
        TRFL_HUMAN,P02788 
    Lactotransferrin is a major iron-binding and multifunctional protein found in exocrine fluids such as breast milk and mucosal secretions. Has antimicrobial activity, which depends on the extracellular cation concentration. Antimicrobial properties include bacteriostasis, which is related to its ability to sequester free iron and thus inhibit microbial growth, as well as direct bactericidal properties leading to the release of lipopolysaccharides from the bacterial outer membrane. Can also prevent bacterial biofilm development in P.aeruginosa infection. Has weak antifungal activity against C.albicans. Has anabolic, differentiating and anti-apoptotic effects on osteoblasts and can also inhibit osteoclastogenesis, possibly playing a role in the regulation of bone growth. Promotes binding of species C adenoviruses to epithelial cells, promoting adenovirus infection. Can inhibit papillomavirus infections. Stimulates the TLR4 signaling pathway leading to NF-kappa-B activation and subsequent pro-inflammatory cytokine production while also interfering with the lipopolysaccharide (LPS)-stimulated TLR4 signaling. Inhibits neutrophil granulocyte migration to sites of apoptosis, when secreted by apoptotic cells. Stimulates VEGFA-mediated endothelial cell migration and proliferation. Binds heparin, chondroitin sulfate and possibly other glycosaminoglycans (GAGs). Also binds specifically to pneumococcal surface protein A (pspA), the lipid A portion of bacterial lipopolysaccharide (LPS), lysozyme and DNA.
        TRFL_HUMAN,P02788 
    Lactoferricin binds to the bacterial surface and is crucial for the bactericidal functions. Has some antiviral activity against papillomavirus infection. N-terminal region shows strong antifungal activity against C.albicans. Contains two BBXB heparin-binding consensus sequences that appear to form the predominate functional GAG-binding site.
        TRFL_HUMAN,P02788 
    Kaliocin-1 has antimicrobial activity and is able to permeabilize different ions through liposomal membranes.
        TRFL_HUMAN,P02788 
    Lactoferroxins A, B and C have opioid antagonist activity. Lactoferroxin A shows preference for mu-receptors, while lactoferroxin B and C have somewhat higher degrees of preference for kappa-receptors than for mu-receptors.
        TRFL_HUMAN,P02788 
    The lactotransferrin transferrin-like domain 1 functions as a serine protease of the peptidase S60 family that cuts arginine rich regions. This function contributes to the antimicrobial activity. Shows a preferential cleavage at -Arg-Ser-Arg-Arg- - and -Arg-Arg-Ser-Arg- -, and of Z-Phe-Arg- -aminomethylcoumarin sites.
        TRFL_HUMAN,P02788 
    Isoform DeltaLf: transcription factor with antiproliferative properties and ability to induce cell cycle arrest. Binds to the DeltaLf response element found in the SKP1, BAX, DCPS, and SELENOH promoters.
        TRFL_HUMAN,P02788 "
MB,increased,MB (Myoglobin) is a Protein Coding gene. Diseases associated with MB include Compartment Syndrome and Medullomyoblastoma. Among its related pathways are Glucose / Energy Metabolism and Effects of Nitric Oxide. Gene Ontology (GO) annotations related to this gene include iron ion binding and oxygen binding. An important paralog of this gene is CYGB. Serves as a reserve supply of oxygen and facilitates the movement of oxygen within muscles. 
MYBPC1,increased,"MYBPC1 (Myosin Binding Protein C, Slow Type) is a Protein Coding gene. Diseases associated with MYBPC1 include Arthrogryposis, Distal, Type 1B and Lethal Congenital Contracture Syndrome 4. Among its related pathways are Cardiac conduction and Striated Muscle Contraction. Gene Ontology (GO) annotations related to this gene include actin binding and titin binding. An important paralog of this gene is MYBPC3. Thick filament-associated protein located in the crossbridge region of vertebrate striated muscle a bands. In vitro it binds MHC, F-actin and native thin filaments, and modifies the activity of actin-activated myosin ATPase. It may modulate muscle contraction or may play a more structural role. "
MYL2,increased,"MYL2 (Myosin Light Chain 2) is a Protein Coding gene. Diseases associated with MYL2 include Cardiomyopathy, Familial Hypertrophic, 10 and Hypertrophic Cardiomyopathy. Among its related pathways are Tight junction and Activation of cAMP-Dependent PKA. Gene Ontology (GO) annotations related to this gene include calcium ion binding and actin monomer binding. An important paralog of this gene is MYL10. Contractile protein that plays a role in heart development and function (By similarity). Following phosphorylation, plays a role in cross-bridge cycling kinetics and cardiac muscle contraction by increasing myosin lever arm stiffness and promoting myosin head diffusion; as a consequence of the increase in maximum contraction force and calcium sensitivity of contraction force. These events altogether slow down myosin kinetics and prolong duty cycle resulting in accumulated myosins being cooperatively recruited to actin binding sites to sustain thin filament activation as a means to fine-tune myofilament calcium sensitivity to force (By similarity). During cardiogenesis plays an early role in cardiac contractility by promoting cardiac myofibril assembly (By similarity). "
MYLK2,increased,"MYLK2 (Myosin Light Chain Kinase 2) is a Protein Coding gene. Diseases associated with MYLK2 include Cardiomyopathy, Familial Hypertrophic, 1 and Vaginal Cancer. Among its related pathways are Oxytocin signaling pathway and cGMP-PKG signaling pathway. Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity. An important paralog of this gene is MYLK3. Implicated in the level of global muscle contraction and cardiac function. Phosphorylates a specific serine in the N-terminus of a myosin light chain."
PI3,increased,PI3 (Peptidase Inhibitor 3) is a Protein Coding gene. Diseases associated with PI3 include Erysipelas and Impetigo Herpetiformis. Among its related pathways are Developmental Biology and Defensins. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity. An important paralog of this gene is WFDC5. Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) (PubMed:29483648). 
